id,name,type,count,trigger,cost,effect,restriction,public_information,notes,status
C01,聚灵丹,一次性丹药,1,吐纳灵力后,打出并弃置,你获得2灵力,受储存上限限制,打出后公开,自助,draft
C02,破境丹,一次性丹药,1,揭晓后且你选择修炼,打出并弃置,本轮修炼额外增加1修为,不消耗额外灵力且修为最高9,打出后公开,自助,draft
C03,回气散,一次性丹药,1,你因雷击失去灵力后,打出并弃置,该次雷击结算后获得2灵力,受储存上限限制,打出后公开,防御,draft
C04,清心露,一次性丹药,1,机缘窗口,打出并弃置,选择一名玩家恢复1修为,修为最高9,打出后公开,支援,draft
C05,引雷符,一次性符箓,1,揭晓后且结算抗劫前,打出并弃置,本轮增加2点虚拟抗劫贡献,不产生功德,打出后公开,防御,draft
C06,避雷符,一次性符箓,1,你将承受一次雷击时,打出并弃置,取消这次雷击且视为已承受,每轮机缘牌上限仍适用,打出后公开,防御,draft
C07,补天石,一次性奇物,1,一道裂痕将令总数达到3时,打出并弃置,取消这道裂痕,只能在失败前使用,打出后公开,公共防御,draft
C08,护阵符,一次性符箓,1,揭晓后且结算修台前,打出并弃置,本轮增加2点虚拟修台贡献,不产生功德,打出后公开,支援,draft
C09,缩地诀,一次性秘术,1,揭晓后,打出并弃置,把你本轮行动在修台与抗劫之间转换且投入量不变,不能转换为修炼或探索,打出后公开,自助,draft
C10,归元诀,一次性秘术,1,揭晓后,打出并弃置,从本轮投入取回最多2灵力,不能令已选非探索行动变为0投入,打出后公开,自助,draft
C11,天机简,一次性奇物,1,揭示天劫后,打出并弃置,查看机缘牌库顶3张并以任意顺序放回,不能展示所看牌面,打出后公开,信息,draft
C12,双生莲,一次性灵植,1,机缘窗口,打出并弃置,把你储存区最多2灵力交给一名玩家,不能超过对方储存上限,打出后公开,支援,draft
C13,窃灵手,一次性秘术,1,揭晓后,打出并弃置,从一名储存灵力比你多的玩家处取走1灵力,不能取走本轮已投入灵力,打出后公开,小幅暗算,draft
C14,乱阵钉,一次性暗器,1,揭晓后,打出并弃置,把一名玩家已投入修台的1灵力退回其储存区,目标仍视为执行修台,打出后公开,小幅暗算,draft
C15,借劫符,一次性邪符,1,你将承受一次雷击时,打出并弃置,把该雷击转给一名本轮抗劫投入不高于你的玩家,每次雷击最多被转移一次,打出后公开,小幅暗算,draft
C16,观因镜,一次性奇物,1,机缘窗口,打出并弃置,秘密查看一名玩家的全部手牌,不能查看天命且不得展示牌面,打出后公开,信息,draft
E01,聚灵葫芦,持续法宝,1,吐纳灵力时,装备后持续,若吐纳前你的灵力不超过2则额外获得1灵力,受储存上限限制,装备后公开,自助,draft
E02,玄龟甲,持续法宝,1,每轮第一次承受雷击,装备后持续,该次雷击少损失1灵力,最低损失0但灵力不足规则仍适用,装备后公开,防御,draft
E03,青冥剑,持续法宝,1,选择抗劫且投入至少2灵力,装备后持续,额外产生1点虚拟抗劫贡献,不产生功德,装备后公开,防御,draft
E04,阵纹尺,持续法宝,1,选择修台且投入至少2灵力,装备后持续,额外产生1点虚拟修台贡献,不产生功德,装备后公开,支援,draft
E05,乾坤袋,持续法宝,1,回合结束检查手牌上限时,装备后持续,你的手牌上限改为5,仍只能装备一件法宝,装备后公开,自助,draft
E06,归元珠,持续法宝,1,回合结束时,装备后持续,若你的储存灵力为0则获得1灵力,受储存上限限制,装备后公开,自助,draft
E07,夺灵幡,持续法宝,1,另一名玩家因雷击失去灵力后,装备后持续,你获得1灵力,每轮一次且受储存上限限制,装备后公开,暗算收益,draft
E08,照影镜,持续法宝,1,另一名玩家的机缘牌效果以你为目标并结算后,装备后持续,你获得1灵力,每轮一次且不阻止原效果,装备后公开,防御,draft
C17,灵髓丹,一次性丹药,1,揭晓后且你选择非探索行动,打出并弃置,从储存区向本轮投入增加1灵力,本次投入可以达到4但仍只能执行原行动,打出后公开,爆发,draft
C18,定神丹,一次性丹药,1,你将因雷击失去修为时,打出并弃置,防止这次修为损失且雷击视为已承受,你仍失去当时全部灵力,打出后公开,防御,draft
C19,换骨丹,一次性丹药,1,机缘窗口,打出并弃置且失去1功德,恢复最多2修为,没有功德时不能使用,打出后公开,自助,draft
C20,假死丹,一次性丹药,1,另一名玩家的机缘牌或本命神通以你为目标时,打出并弃置,取消该效果中只针对你的部分,不取消公共效果或目标玩家的行动,打出后公开,反制,draft
C21,同心符,一次性符箓,1,揭晓后,打出并弃置,选择一名与你同为修台或同为抗劫的玩家；该公共行动增加1点虚拟贡献,你与目标必须选择相同公共行动,打出后公开,支援,draft
C22,渡厄符,一次性符箓,1,另一名玩家将承受雷击时,打出并弃置,取消这次雷击且视为已承受,不能对自己使用,打出后公开,支援,draft
